data_idx,question_idx,prompt_question,prompt_option_a,prompt_option_b,prompt_option_c,prompt_option_d,answer,country
982,982,"In Indian schools, what is a common method used by instructors for getting students to learn new material?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Projects that change community around you based on what you have learned.
(ii) Homeworks that apply what you have learned to new tasks.
(iii) Homeworks to repeat writing learnt vocabulary.
(iv) There is no homework.","ii, iii","i, ii, iv","ii, iv","iii, iv",A,India
983,983,"In Chinese culture, what do people tend to prefer eating while traveling on trains?",box lunch,Instant noodles,Trail Mix,Hamburger,B,China
984,984,Which relationship would be the most peculiar for an American?,Dating multiple people at the same time,Having multiple wives,Not dating anyone,An 18-year-old in a relationship with a 60 year old person,B,United States
985,985,"In China, what age is important in career life?",20,25,30,35,D,China
986,986,"Comparing Sichuan spicy hotpot and Beijing hotpot , which of the following ingredients is more commonly used in Beijing's version?",Pig intestines,Chicken feet,Tripe,Lamb,D,China
987,987,"What do Korean people often say to indicate you should smile when taking a photo, reflecting a cultural practice?",Rice,Kimchi,Kimbab,Tteokbokki,B,South Korea
988,988,"What does a Spanish kid typically do with their tooth once it has fallen out, following their cultural tradition?",Put it under their pillow for the Tooth Fairy.,Throw it onto the roof of their house.,Place it under their pillow for Ratoncito Pérez.,Bury it in the garden.,C,Spain
989,989,What is a common thing that desantniki do on the holiday VTV?,Jump in fountains,Play board games,Go to a concert,Go on a walk,A,Russia
990,990,"In Spanish culture, how long might someone stay out at the clubs?",Until this morning,Until next morning,Until just after midnight,Until just before last call at the bars,B,Spain
991,991,"In China, what do people usually say to the bus driver when they get off?",Say nothing.,Where do I tap the card?,Thank you.,What time is it?,A,China
992,992,"In Romanian culture, which of the following dates is not a particularly special or important for celebration?",A person's name day.,A person's 18th birthday.,The national holiday.,A person's 21st birthday.,D,Romania
993,993,"In Turkish culture, when do children typically move out of their parents' house?",When they begin their undergraduate studies.,When they start their first job.,When they can find a spouse.,When they turn 18.,C,Turkey
994,994,"In Iranian culture, where do engineer adults who have formal education from top universities in Iran and have been independent usually live when they get older?",In a senior living community facility,"In their own house, independently",With their children or grandchildren,Age-similar social group setting with people of their age.,B,Iran
995,995,"In the Chinese internet, people are NOT likely to be censored when talking about which political topics?",Relationship between US and China,LGBTQ+ rights,Women rights,Cultural Revolution,C,China
996,996,"In India and Hindu culture, what are you supposed to do if your feet accidentally touch a book?",Apologize with a gesture and put hand to chest or forehead,Elevate the reading material and donate it,Recycle the book as a sign of respect for its misuse.,"To show that you regret such disrespect, submit written expression of showing respect",A,India
997,997,What shape of table do Chinese people like to use for family dinners?,Square,Triangle,Circle,Does not matter,C,China
998,998,How do most drivers in China pick lanes during a commute?,Drivers often stick to their own lanes.,Drivers like to overpass other vehicles by using the emergency lane.,Drivers often ignore lanes and try to cross other ones.,Drivers honk to push cars out of their way.,A,China
999,999,What is a common object older citizens in China might offer to a young adult for leisure?,A piece of candy,A cup of coffee,A magazine,A cigarette,A,China
1000,1000,"For a New Zealander, what ball sport is a famous national pasttime that uses their feet?",Football,Rugby,Soccer,Basketball,B,New Zealand
1001,1001,What is a common way of greeting each other in Spanish culture for women?,A kiss on both cheeks,A firm handshake,A bow,A hug,A,Spain
1002,1002,In which region of China are the people generally taller?,Northern China,Region known for desert landscapes and Silk Road history,Region above the Yangtze River,Region known for warm weather and Cantonese culture.,A,China
1003,1003,"In Chinese culture, when students are given a choice for writing instruments in school, which one do they prefer?",Pen,pencil,calligraphy brush,Fountain pen,A,China
1004,1004,"To celebrate the Chinese new year, people usually don't do:",Light fireworks,Eat dumplings,Meet family,Sweep tomb,D,China
1005,1005,What would a Chinese grandma never let her Chinese daughter and/or granddaughter drink for health reasons?,Hot water,Water at a comfortable sipping temperature,Chilled drink: extra frosty,Warm water with brown sugar and ginger,C,China
1006,1006,"In Vietnamese culture, what are you not supposed to do at night?",Open an umbrella indoors,Yell a person's name,Leave shoes facing the door,Whistle indoors.,D,Vietnam
1007,1007,"At a college fair in India, as an advisor introducing the program to an Indian mom, she would usually take the following action to express approval and/or she's engaged in this conversation:",nodding their heads up and down,shaking their heads,giving a thumbs up,clapping their hands.,A,India
1008,1008,"When attending a Russian party, what is a common item to bring?",Beer,Draniki,Caviar on Bread,Dumplings,A,Russia
1009,1009,What poem is a typical Chinese primary school student likely to learn?,"""Quiet Night Thought"" by Li Bai","""The Road Not Taken"" by Robert Frost","""Stopping by Woods on a Snowy Evening"" by Robert Frost","""The Raven"" by Edgar Allan Poe.",A,China
1010,1010,"During Chinese New Year, what would adults typically gift children?",Red envelopes with money,Chocolate coins,Gift cards,Baked cookies.,A,China
1011,1011,"In an Asian Indian cultural context, what is a unique action done to a newborn baby a majority of the time?",Their hair is styled.,Their hair is fully removed.,Their hair is kept.,Their hair is partially shaved.,B,India
1012,1012,"After entering a Hindu temple, what do most people do first?",Remove their shoes.,Provide offerings and/or pray to the Gods/Goddesses.,Sit down on a bench and pray.,Make circumambulations around the temple.,A,India
1013,1013,Which animal or object do Chinese people think they are the descendants of?,Monkey,Dragon,Snake,Qilin,B,China
1014,1014,"In Indonesian culture, what is required to be on your identification card?",Your affiliated religion,Your political party affiliation,Your social security number,If you are blood type A or not,A,Indonesia
1015,1015,"In Korean urban legend, what does the ghost offer you when you're in the bathroom?",A red or blue toilet paper,A mirror to see your future,A candle that never burns out,A book of forgotten tales.,A,South Korea
1016,1016,What is defined as vegetarian in India?,"Not eating seafood, meat, or eggs",Not eating seafood or meat,"Not eating seafood, meat, eggs, or root vegetables",All of the above,A,India
1017,1017,When is Chinese New Year usually not celebrated?,February 10th,January 1st,Start of Lunar Year,January 24th,B,China
1018,1018,In Pakistan what is a dish with cooked lentils and beef,lentil soup,Nihari,Haleem,Cooked lentils,C,Pakistan
1019,1019,Which of the following is the most 'drippy' in American culture,Jordans,Crocs,Tank tops,High heels,A,United States
1020,1020,What might someone in China do for better luck in their zodiac year?,wear red things,pay tribute to ancestors,give out red envelopes,A lucky charm necklace,A,China
1021,1021,What is looked down upon for women in a lot of more traditional Indian families?,Drinking,Divorce,Remaining unmarried,All of the above,D,India
1022,1022,What zodiac sign is associated with good fortune and power in Vietnamese culture?,Dragon with no wings,Gold Pig Statue,Strong Bison,Buddha statue,A,Vietnam
1023,1023,"In Iran, when do children who have graduated from the public university often become independent in their families?",After they start their initial career position,After graduating from college,After getting married,When they turn 18 years old.,C,Iran
1024,1024,"In Chinese culture, what is uncommon practice when the bill arrives during a dinner?",Everyone evenly splits the bill,The person who extended the invitation pays for everyone.,One person at the dinner will pick up the tab,One person will have paid for it already during the dinner,A,China
1025,1025,"In India, what is common for the average person in terms of household help?",Having multiple maids and servants,Having a single part-time maid,Hiring a cleaning service weekly,Doing all household chores without any help,D,India
1026,1026,"If you were eating with one of your male friends from Saudi Arabia, which of the following dishes would he most likely not eat?",Fettuccine alfredo,Sushi,Kabsa,Bacon Carbonara,D,Saudi Arabia
1027,1027,"In Chinese culture, what is uncommon for parents to do as their kids grow up into adults?",Encourage complete independence by having them move out at 18.,Expect them to make frequent and lengthy visits home.,Live separately but close enough for regular family dinners.,Send them to other countries for better education and living conditions.,A,China
1028,1028,What's a typical New Year's Eve dinner for a family in Vietnam?,Banh Chung,Bun Bo,Pho,New Year Moon Cakes,A,Vietnam
1029,1029,How do Americans usually eat their food?,With chopsticks,With a fork and knife,With their hands,With skewers,B,United States
1030,1030,"In Turkey, how is a boy's circumcision celebrated if it occurred after his birth?",With a large dinner event with the extended family,"Throwing a large, festive party with relatives and friends","Informing friends, family, and community members",Organizing a small event or a quiet gathering at a local religious institution.,C,Turkey
1031,1031,Which food are young American children being naughty and disobedient sometimes told to eat?,Sushi,Vegetables,Snails,Fries,B,United States
1032,1032,"In China, what is the expectation for the first date.",People split the bill equally.,The person who initiated the date pays.,The man pays for the date.,The person who is richer pays.,C,China
1033,1033,"What is a factor that is considered before two young people get married in North India?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Their family background
(ii) Their caste
(iii) Their jobs
(iv) Their hobbies","iii, iv","i, ii, iii","i, ii, iii, iv","ii, iv",B,India
1034,1034,"In Spanish culture, how effective are Spanish shutters in blocking out light?",They block out almost all light to keep interiors cool and dark during the day.,They let in a moderate amount of light to brighten up the room while still providing privacy.,They are mostly decorative and let in almost all the light.,They are designed to filter out only the harsh sunlight while allowing most of the light to pass through.,A,Spain
1035,1035,"In Chinese culture, which scenario is more likely to be seen on the city street during summer?",A man does not wear any top or upper garment due to high temperature.,A women does not wear any top or upper garment due to high temperature.,A women wears a bikini due to high temperature.,A man wears a bikini due to high temperature.,A,China
1036,1036,In American culture what is more popular?,Mr Beast,dust wipers,large oversized pencils,small undersized pencils,A,United States
1037,1037,"In Indian culture, where does a woman typically go for childbirth?",To a specialized maternity hospital.,On a vacation for relaxation before the baby arrives.,To her parents' house.,To a birthing center focused on natural childbirth.,A,India
1038,1038,"In American College culture, which of the following is seen as the coolest?",partying,studying,sleeping,napping,A,United States
1039,1039,"In an Indian cultural context, how does a groom arrive to his wedding?",On a horse.,On a horse with a wedding procession.,Walking.,Getting carried by his friends.,B,India
1040,1040,What are some implicit etiquette in a company dinner in Korea?,Hold the glass with both hands when a younger person is pouring alcohol for you,Look away from elders while drinking alcohol,Maintain eye contact the entire time,Make sure to start eating first,B,South Korea
1041,1041,"In Ukrainian culture, what is believed to happen if you eat from a knife?",You will have good luck.,You will become an angry person.,You will lose your appetite.,You will gain wisdom.,B,Ukraine
1042,1042,"In Korean culture, how is the student lifestyle commonly perceived in terms of studying before and after gaining college admission?",Students study intensively before college and not so much after entering.,Some students maintain the same level of intensive studying before and after entering college.,Students only start studying intensively after they enter college as college grades determine their grad school career.,"Students are more focused on social life before college and become serious about studies after they fail to get admission to ""in-Seoul"" university.",A,South Korea
1043,1043,"In Vietnam, who should you not say hi to last?",Your parent,The eldest person,The oldest uncle,The kids,B,Vietnam
1044,1044,"Which of the following is a commonly used Indian spice blend?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Five spice mix
(ii) Garam masala
(iii) Pumpkin spice
(iv) Chaat masala","i, iv","i, ii, iii","ii, iv","ii, iii",C,India
1045,1045,"In Korean dining etiquette, what is always frowned upon during a meal?",Dipping your spoon with rice in a shared soup,Allowing the youngest person to sit on the outside,eating with your hands,Leaving a small tip,A,South Korea
1046,1046,What is not a standard responsibility of a teenager in Chinese culture?,Looking out for younger siblings,Caring for parents,Learning to drive,Studying and going to school,C,China
1047,1047,"What is a common punishment for Russian children?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) No going outside
(ii) Going to the corner
(iii) Whip with a belt
(iv) No punishment","i, ii, iii","ii, iii","ii, iv","i, ii, iii, iv",A,Russia
1048,1048,"It's early morning in Egypt, why is there the sound of banging on metal in the streets?",Someone is waking people up for prayer,Someone is selling propane tanks and is trying to attract customers,Someone is selling fruits on a fruit stand,This is the garbage collector calling people to bring down their trash,B,Egypt
1049,1049,What color outfit is typically worn at a Chinese New Year family gathering?,Red,Blue,Black,White.,A,China
1050,1050,"In a Chinese cultural context, what form of payment is most commonly used?",Mobile bank,Credit card,Debit card,Cash,A,China
1051,1051,Who eats first when Chinese people eat with family?,youngest,oldest,physically disabled,all together,B,China
1052,1052,"In Arab culture, what is a common practice when it comes to paying the bill at a restaurant?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Everyone tries to pay the bill themselves to show generosity.
(ii) Split the bill equally among everyone.
(iii) The person who extended the invitation pays the bill.
(iv) Rotate the responsibility of paying the bill each time.","i, iii, iv","i, iv","i, iii","i, ii",C,Saudi Arabia
1053,1053,"Fill in the blank: in Mexican culture, it can be _____ to call someone fat in Spanish
Read the following statements and select the option that include all the appropriate statements for this question.
(i) A term of endearment
(ii) Insulting
(iii) Acceptable, but not very nice
(iv) Acceptable","i, iii, iv","i, iv","i, ii, iii","i, iii",C,Mexico
1054,1054,"In the northern part of China, what do people usually eat for carbs?",Noodles,Rice,Bread,Fruit,A,China
1055,1055,"In Israel, which action is usually taken while driving a car (note that this can be either in the city or in the suburbs)?",Avoid driving after 11pm at night anywhere till 6am the next day.,"When approaching a roundabout, do not yield to vehicles already within as they will yield to you.","If the light just turned green (~1 second ago), honk at the person who is at the very front if they have yet to start moving.",Stop and then take a left or a right on red after 10 pm at night.,C,Israel
1056,1056,How do people in China treat the drinking age?,Strictly enforced by law,Socially ignored and not strictly enforced,People encourage their friends and family to drink,Accompanied by celebrations at the age of 18,B,China
1057,1057,What's a bad gift choice for a Ukrainian friend's birthday?,A watch,A scented candle,A book,A bottle of wine.,A,Ukraine
1058,1058,Question: What color do Chinese people traditionally wear during Chinese New Year to celebrate?,"Blue, as it symbolizes good luck and joy.","Red, as it symbolizes good luck and joy.","Red and green, for good luck and wealth.","Orange and Red, as it symbolizes wealth and prosperity.",B,China
1059,1059,"In the Nepali Hindu culture, what significant ceremony is performed for a male child reaching adolescence?",A ceremony where he shaves his head and is taught a mantra to chant every morning.,A coming-of-age party with music and dancing to symbolize adulthood.,A formal dinner with family where the child pledges to uphold family values.,A camping trip with his father and other male family members to learn survival skills.,A,Nepal
1060,1060,What is not a common experience for a Chinese boy growing up in America?,Getting a drivers license,Studying for Gaokao,Attending a four-year university,Playing youth football,B,China
1061,1061,What are you expected to do when you receive a red envelope during Chinese New Year in Malaysia?,Open it right away,Open it in private later,Save it for a special occasion (Red envelopes sometimes saved for luck).,Share the news with family (Family involvement is valued in celebrations).,B,Malaysia
1062,1062,"In Russian culture, how likely is someone to tell a stranger or a family member about their opinion on one's act?",Not very likely,Kind of likely,Depends on relationship with the person,Decently likely,C,Russia
1063,1063,What are Muslim women in Saudi Arabia not allowed to do?,Drive vehicles,Drink qahwah,Drink wine,Ride horses,C,Saudi Arabia
1064,1064,"In Ukrainian culture, where is it common for people to spend their summers?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Summer camps
(ii) Coastal vacation destinations
(iii) Small rural communities
(iv) Nation-spanning car journeys","ii, iii, iv","ii, iii","ii, iv","iii, iv",B,Ukraine
1065,1065,What is typical for a wedding in Istanbul?,A massive celebration gathering with loud music,A private and intimate gathering with loved ones,"A quick, informal exchange of vows without a ceremony",A culturally informed indoor get-together,A,Turkey
1066,1066,"In the context of Egyptian culture, why is free food being served in the street at sunset?",They are feeding the homeless,They are doing a promotional campaign,They are feeding those who were praying throughout the night,They are feeding those who were fasting throughout the day,D,Egypt
1067,1067,What would a Pakistani call someone in Pakistan who is brown but with foreign ideals?,burger,brown foreigner,desi,immigrant,A,Pakistan
1068,1068,"In Indonesia, what activity does it called for helping each other without payment or voluntary calculation?",Gotong Royong,Community Service,Barn Raising,Volunteerism.,A,Indonesia
1069,1069,"In Indonesia, what do people usually do when visiting someone's house or residence?",Bringing a small gift for the host,Arriving exactly on time,Wearing shoes inside the house,Sending a thank-you card the next day.,A,Indonesia
1070,1070,What is a common stereotype about colored people in South Africa?,They are known for being excellent swimmers.,They are almost always missing their front teeth and are considered to be violent.,They prefer to wear traditional clothing on a daily basis.,They are primarily vegetarians.,B,South Africa
1071,1071,"In Argentine culture, what type of cuisine is less likely to be popular?",Spicy food,Fast food,Barbecue,Desserts.,A,Argentina
1072,1072,"What do friends in Argentina chat about over mate?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Politics and economy
(ii) Local sports teams
(iii) The latest technology gadgets
(iv) Upcoming Hollywood movies.","i, ii","ii, iii","i, iii","i, ii, iv",A,Argentina
1073,1073,"In Chinese culture, what is considered as a compliment to the chef after having a delicious meal?",Burping,Leaving a tip,Clapping your hands.,None of the above,A,China
1074,1074,"In Chinese culture, what is considered bad etiquette when eating a whole fish?",Eating with hands directly,Starting group meal before the elders,Turning the fish over,Eating the eyes of the fish,A,China
1075,1075,"In Polish culture, what is not a customary practice when entering someone's home?",Observing specific indoor footwear etiquette upon entry,Bringing a dish or homemade food to contribute to the gathering,Retaining one's outdoor footwear unless alternative indoor footwear is explicitly offered,Prioritizing an acknowledgment or show of respect to the eldest or senior person present,C,Poland
1076,1076,What is a common way to enjoy a traditional breakfast on weekends in Polish culture?,Bread with ham and cheese,Having a quick cereal or oatmeal breakfast before starting the day's activities.,"Going out for a big brunch at a local diner, featuring pancakes, eggs, and bacon.",Enjoying a light breakfast of fruit,A,Poland
1077,1077,"In South Indian culture, which fragrance is associated with an temple feeling?",jasmine,eucalyptus,Peppermint,sandal,D,India
1078,1078,"In northern Mexico culture, how do people often not refer to their friend's parents?","""Auntie"" and ""unc""","As ""Mr."" or ""Mrs."" followed by their last name","As ""aunt"" or ""uncle""","Parents' sibling, male or female",B,Mexico
1079,1079,"In Mexican culture, how is it customary not to greet women at a party?",With a formal handshake,By simulating a kiss on the cheek,Pretending to kiss her cheek,Pressing your cheek on her cheek,A,Mexico
1080,1080,"In Lebanese culture, when is it most common for adults to leave their parents' house?",When they start their initial professional engagement,When they start higher education,When they change social status,Personal preference,C,Lebanon
1081,1081,What do the guests do usually to celebrate the spouses in Italy?,Guests often engage in a symbolic act related to prosperity.,Using hand-held fireworks exit,collective spiritual gathering ceremony,Celebration ritual for newlyweds wishin them the best for the future,D,Italy
1082,1082,What is a typical habit during processions in the south of Italy?,Throwing rice at the participants,Releasing doves into the air,religious procession tradition,Lighting fireworks during the day,C,Italy
1083,1083,"When eating something, which hand do Bengalis use to eat?",Right Hand,Left Hand,They do not use hands. They use spoons and forks instead,They use chopsticks only,A,Bangladesh
1084,1084,"In the Philippines, which of the following is traditionally preferred?",Marry before expressing intimate love,Live together before marriage to test compatibility,Date casually with multiple partners before settling down,Kiss on the first date as a sign of mutual interest.,A,Philippines
1085,1085,"In Venda culture, why must the youngest father's sister marry a wife for the king?",To ensure the king is provided a wife that is chosen by a trusted family member who knows the king well.,To solidify a political alliance between neighboring territories.,To follow a popular reality TV show format where a relative picks a spouse.,As a form of traditional matchmaking based on astrological signs.,A,South Africa
1086,1086,"In Israeli culture, what do the opposite gender of men  at a ""Bar Mitzvah"" throw at the celebrating young boy?",sweet treats that is from toffee,grains that are popular,colorful paper,plants that are pretty,A,Israel
1087,1087,"In South African culture, which product is famously known as a traditional kind of milk or yoghurt?",Imasi,Buttermilk,Amazi,Amasi,D,South Africa
1088,1088,What do families in Japan eat right after the New Year countdown?,Soba noodles,Roast turkey,Black-eyed peas,Apple pie.,A,Japan
1089,1089,"In Hong Kong, what do unmarried children get during New Year?",red packet,candy,a new pet,a rock,A,Hong Kong
1090,1090,"Who is a famous actor in Korean culture?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Kim Soo-hyun
(ii) PSY
(iii) Lee Byung Hyun
(iv) Song Kang Ho","i, iii","i, iii, iv","i, ii, iii","i, iv",B,South Korea
1091,1091,What is a common practice in Korean food culture when eating meals?,Sharing side dishes among everyone at the table.,Ordering individual appetizers for each person.,Eating a main dish without any side dishes.,Starting the meal with a dessert.,A,South Korea
1092,1092,"In Mexican culture, do all Mexicans live with their parents until they are in their 30s?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) until they are about 18 years old
(ii) until they get married, even if that's in their 30s
(iii) until they finish high school
(iv) until they can afford their own rent.","i, ii, iii, iv","i, ii","ii, iv","i, iv",C,Mexico
1093,1093,"In Mexican cuisine, quesadillas are made with cheese as it comes from queso (cheese) but there are certain places in Mexico where people can order quesadillas without cheese",Always filled with cheese,Never containing cheese,Can contain cheese or not,"Only filled with meat and vegetables, never cheese.",C,Mexico
1094,1094,"What distinguishes an Italian's breakfast habit from that of an Englishman?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Eating a light breakfast typically consisting of a coffee and pastry.
(ii) Enjoying a hearty breakfast with eggs, bacon, and toast.
(iii) Eating pancakes with maple syrup.
(iv) Opting for a cereal with cold milk.","ii, iv","i, iv","i, iii","i, ii, iv",B,Italy
1095,1095,"When greeting someone for the first time, what is a common practice in Italy culture?",A firm handshake,A cheek kiss,A hug,A bow,A,Italy
1096,1096,What is the common practice regarding footwear inside homes in Italian culture?,Leave shoes on when entering the home.,Take off shoes and leave them outside.,Switch to indoor slippers at the entrance.,Wear shoes at all times inside for guests only.,D,Italy
1097,1097,"In Latino america culture, how do people typically greet each other?",With a handshake,With a hug and sometimes a kiss on the cheek,With a bow,With a fist bump.,B,Argentina
1098,1098,What type of flavor do Bangali people generally prefer in their desserts?,Sweet,Salty,Bitter,Sour.,A,Bangladesh
1099,1099,What do Bangali people typically do when they have guests?,Serve the best food and treats they have,Expect guests to help with meal preparation,Offer a handshake instead of food or drink,Ask guests to remove shoes but not offer slippers in return.,A,Bangladesh
1100,1100,"In Bangladeshi culture, what is likely to be considered as the main meal for people living near many rivers?",Fish,Beef steak,Veggie burger,Chicken wings.,A,Bangladesh
1101,1101,"At a Vietnamese family reunion, who might inquire about everyone's ages?",The older person,The younger person,"Either person, regardless of age",It is considered impolite for anyone to ask about age.,C,Vietnam
1102,1102,How do people in Mexico traditionally NOT celebrate the Day of the Dead?,They bring food and drink to graves.,They light fireworks and have parades.,They dress up in costumes and go trick-or-treating.,They have a silent vigil night.,C,Mexico
1103,1103,"In Turkey, which of the following is NOT a common custom when entering someone's home?",Removing your shoes and possibly being offered house slippers.,Leaving your shoes outside the door before entering.,Wearing your shoes inside as a sign of respect,Offering to clean your shoes before stepping inside.,C,Turkey
1104,1104,What is a common social behavior in Dutch culture when people gather?,Complaining about various topics,Discussing personal achievements extensively,Avoiding any form of confrontation or disagreement,Sharing detailed stories of individual success.,A,Netherlands
1105,1105,"In the context of Bangladesh, how has the Bengali language influenced its cultural identity?",It has unified the nation by becoming a symbol of its struggle for independence.,It has encouraged the adoption of a federal system of government.,It promoted the incorporation of various international holidays into the national calendar.,It led to the widespread adoption of English as the primary language in educational institutions.,A,Bangladesh
1106,1106,What special allowance do children receive in Japanese culture for New Year?,"Otoshidama, a monetary gift.",A day off from school assignments.,A personalized new year resolution card.,A gift of new clothes for the upcoming year.,A,Japan
1107,1107,What is the most watched sport on TV and locally in Japanese culture?,Baseball,American Football,Basketball,Ice Hockey,A,Japan
1108,1108,"In Chinese culture, what is considered appropriate etiquette when exchanging business cards during an initial meeting?","Present the card with both hands, accompanied by a slight bow, ensuring the card’s text faces the recipient",Tossing it casually to the other person,"Hand the card with both hands, but make sure to bow after the recipient takes It",Placing it on a table for the other person to pick up.,A,China
1109,1109,"In traditional Indian culture, which of the following is the most commonly accepted way to greet someone in a formal setting?","Say ""Namaste"" with palms pressed together and a slight bow","Offer a firm handshake with direct eye contact, similar to Western greetings","Greet with a brief hug and a light pat on the back, showing warmth","Kissing on the cheek twice, a gesture borrowed from some European cultures",A,India
1110,1110,what don't Egyptians like to drink after dinner?,tea with mint,hot chocolate,drink hot tea,tea,B,Egypt
1111,1111,What do Muslims in Egypt do during the fasting hours of Ramadan?,have small amounts of food and water,Only drink water,Eat small snacks,stops all food and drinks intake,D,Egypt
1112,1112,"In Korean culture, when is it not considered a time you age one more year?",The day a baby is born.,New year's day,Someone's birthday,New year's celebration,C,South Korea
1113,1113,"In Iran, what is Not or so not considered impolite when attending a formal lunch invitation?",Not waiting for the host to start eating.,Discussing personal problems at the table,Leaving the table immediately after finishing your meal.,Refusing to drink tea at the end of the meal.,D,Iran
1114,1114,"In Iranian culture, which gesture is not typically expected from hosts to establish rapport with guests upon their arrival?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Serving tea
(ii) Offering a handshake
(iii) Presenting a gift
(iv) Giving a brief tour of the home.","ii, iv","i, iv","i, ii, iv","iii, iv",D,Iran
1115,1115,"In German culture, what is considered polite behavior when toasting?",Keeping your glass below the level of others’ glasses,Making eye contact with each person you are toasting,Avoiding clinking glasses to prevent noise,"Saying ""Cheers"" in a soft voice",B,Germany
1116,1116,What do Brazilians usually wear on their feet indoors in the cold weather?,Flip-flops,Barefoot,Flip-flops with socks,Shoes,C,Brazil
1117,1117,"In Hong Kong culture, what is the most common method used to pay for public transport?",Mobile payment apps,Octopus card,Cash,Credit cards,B,Hong Kong
1118,1118,"In the context of mourning for lost immediate relatives, what color dress do people traditionally wear in Nepali culture?",White,Black,Purple,Blue.,A,Nepal
1119,1119,"In Hong Kong culture, what is usually the etiquette regarding eating and drinking in public transportation?",Eating and drinking are allowed without restraint,"Eating and drinking are not allowed, and passengers would be fined if do so","Eating and drinking are not allowed, and passengers are expected to clean up","Eating and drinking are allowed, but are expected to clean up",B,Hong Kong
1120,1120,Chile had several wars against the Peru-Bolivian Confederation. In which of these wars did Chile militarily occupy the enemy's capital?,War of the Pacific 1879-1884,War against peru bolivia confederation 1836-1839,War for the independence,Cenepa War,A,Chile
1121,1121,How do villagers in Chiloé move houses with community help?,A minga,With the help of trucks,With horses,With the help of a crane,A,Chile
1122,1122,Which of these dances is the most popular in the desert in Chile?,Tango,Baile de la Diablada,Rapa nui Dance,Vals chilote,B,Chile
1123,1123,"In Nigerian culture, what is considered a bad omen when walking?",Finding a four-leaf clover,Seeing a black cat cross your path,Kicking your leg against a stone,Walking under a ladder.,C,Nigeria
1124,1124,What do Italians traditionally use to make carbonara?,Guanciale,Bacon,Chicken,Smoked sausage,A,Italy
1125,1125,"What car is often considered the most ""fun"" and traditional vehicle in Italian culture?",Fiat 500,Ford Mustang,Chevrolet Camaro,Panda,A,Italy
1126,1126,What is a common practice when entering a house or room in Japanese culture?,Taking shoes off before entering,Keeping shoes on inside the house,Changing into house slippers but keeping outdoor shoes on,Wiping shoes on a mat and walking in.,A,Japan
1127,1127,"In Japanese culture, how is food traditionally passed from one person to another during a meal?",Using your own chopsticks to place the food directly onto the recipient's plate.,Passing food with chopsticks directly to another person's chopsticks.,Throwing the food into the recipient's mouth from a distance.,Using a shared spoon to scoop the food onto the recipient's plate.,D,Japan
1128,1128,How do people in Japan traditionally celebrate children's milestones?,Having a big birthday party with lots of gifts.,Hosting a silent meditation session for the child.,"Visiting a shrine to pray for the child's health and well-being at ages 3, 5, and 7.",Taking the child on a trip to a theme park.,C,Japan
1129,1129,What do people traditionally say before eating in Japanese culture?,Bon appétit,Itadakimasu,Let's eat,Buen provecho,B,Japan
1130,1130,"In a rural culture, what unique method is used to let children know it's time to come home in the evening?",A specific music is played.,A text message is sent to their smartphones.,A community bell is rung.,Parents personally go out to find them.,A,Japan
1131,1131,"In Moroccan culture, how do you properly greet someone from your family or friends?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Shake hands firmly while making eye contact.
(ii) Give them 4 to 6 kisses while asking about their well-being and updates.
(iii) Bow slightly while saying hello.
(iv) Offer a high-five while asking what's new.","i, ii","i, iv","ii, iii","i, ii, iv",A,Morocco
1132,1132,"In South African culture, which game unites everyone, with people commonly dressing in green to support it?",Rugby,Football,Tennis,Golf,A,South Africa
1133,1133,What is a popular activity among South Africans to relax during both summer and winter?,Going for a braai,Hosting a backyard barbecue,Heading to a beach bonfire,Camping,A,South Africa
1134,1134,What is the one food considered a staple and widely consumed across all communities in South African culture?,Pap (maize porridge),Hamburger,Sushi,Hot dog.,A,South Africa
1135,1135,What's the quirky way someone in Singapore saves a seat at a table at a hawker center?,By placing tissue paper on the seat,By leaving something soft on the seat,By asking someone nearby to watch their seat,By using a 'reserved' sign made of tissue paper,A,Singapore
1136,1136,In Singapore people do not eat chewing gum. Why?,Chewing gum are banned,Chewing gum is not tasty,Chewing gum is expensive,Chewing gum is not for Singapore people,A,Singapore
1137,1137,"In Australian culture, how do people usually greet each other?",How ya going mate?,What's up dude?,How do you do buddy?,"Hey, what's going on my friend?",A,Australia
1138,1138,"In Zulu culture, what is traditionally required before a couple can get married?",A man must pay a dowry of many cows.,The couple must go on a road trip across the country together.,They must exchange rings made of precious metals in a public ceremony.,A formal dinner party must be hosted by the couple's parents.,A,South Africa
1139,1139,"In South Africa's tradition, where do 14-year-old boys go to undergo circumcision as part of their cultural rites of passage?",To a mountain,To a hospital,To a religious institution,At home.,A,South Africa
